,Name,Time,Num_Reviews,Title,Content,Rating
0,Beryl Damian,2020-10-17,2,Even after providing all ID and…,Even after providing all ID and requirements!! My account still not unblocked!! Switched over to Edwinconsult___ eventually and they made me recover back all details... few talks with em and you good..,5
0,Local Lemon,2020-10-17,2,Facebook need to get their act together!,"I don't understand why my ad account was disabled. I know and understand all of their policies.I have no negative feedback on any of my adds or posts. None of them violates any of their rules. I have selected the review option and all it asked me for was my ID. The online support is not available, there is no article in their help centre that suggests any solutions and I am at the mercy of a bot making decisions for my business.I have people's businesses depending on me to help them on Facebook and I can't.",1
1,barry,2020-10-17,20,Just spend my time deleting adds after…,"Just spend my time deleting adds after opting out, can't stand it now, I'm off",1
2,Deb W,2020-10-16,4,All Republicans- take a stand,Please all Republicans take a stand and close your accounts on FB and Twitter. They have stopped any stories about the recent  Hunter Biden and Joe emails proving  they and are guilty!!  The “silent majority” it’s time to make a stand.  Freedom of Speech is more important than belonging to these liberal social media groups.  Republicans stand up and fight back by closing your accounts!!!!  Fight liberal media by closing accounts!!!,1
3,s alan,2020-10-16,2,Deepstate at its best,"Deepstate at its best, covering for Criminal Biden Family.",1
4,Patricia Charnet,2020-10-16,3,Was given 2 warning for talking about…,Was given 2 warning for talking about Denisovans and Neanderthals  one review said obscene because one of the scientific article showed the breast of a woman and another because naming races was racist when talking about the origin of humain dna asked for 2 reviews of the warnings was rejected fb is a bully and gave me 2 warnings for scientific articles,1
5,Lily Chen,2020-10-16,2,Block my account without a reason,"If iCan give The Facebook rating a moon instead of start, I will.I just open a account, next day they block it! I have done nothing. Don’t want to me use it, ok. I won’t touch it again!!",1
6,Venice,2020-10-16,2,Despite the fact I was told I couldn’t…,Despite the fact I was told I couldn’t get my account back... Edwinconsult __ via IG best the odds... everything in my account remains intact as well,4
7,Tracy Mayes,2020-10-15,1,Facebook Bias,Facebook is a bias social media site. They restricted my account for commenting to a racist post but allow the racist to continue to comment/post. They say I was bullying a racist.🤔 How hilarious is that? Facebook protects their racists account members!!!! #SecretCensorship,1
8,Jack Thrasher,2020-10-15,1,Facebook is a communists ap,I was suspended from from Facebook for using my first amendment rite of freedom of speech and they suspended me for using that rite. It was not point specifically at a certain person but was still suspended and they do not like it when you say the truth and speak up for your rites. They are turning into a extremists left wing liberal platform. I go on there to inner act with like minded people who want to stand up to corrupt democrats!! I belive that our freedoms are being taken away by these extremists they call themselves Facebook!!,1
9,SALAMI ADEWALE,2020-10-15,5,I lives in Kent,"I lives in Kent, United Kingdom, placed an ad and paid for but my audience population showing in America, tried many times to change the audience area but couldn't, I  had to cancel my payment and  what a way of scamming people?",1
10,Dave,2020-10-15,75,Politically corrupt,Actively trying to sway the US election towards the democrats through politically biased censorship. Facebook is a danger to democracy!,1
11,Alessandro Montrone,2020-10-14,1,My personal account was disabled,"Hello,I have the account disabled and I think there was a misunderstanding on the part of Facebook also because I have never made mistakes and in addition I manage a paid page that I paid to you with my money. My account is blocked and I want to be unblocked as soon as possible, thank you.In addition, I'm attaching my driving license, my fiscal code and my identity card.Best regards,Name: AlessandroSurname: MontroneAddress: Capitano Bartolomeo Lanzolla Street 8Mobile phone: +39 3516319415Residence: Cassano delle Murge (BA)Born city: Bari (BA)",1
12,Scott Anderson,2020-10-13,5,FB the socialist book,"Facebook blocks me for certain comments. The truth of the matter they are taking political sides. When someone says they hope covid positive die and I respond by calling this person a dumb b...h I get blocked for 30 days and they don't, telling me it goes against their standards. Mark Zuckerburg made it obvious he is all for the crooked left democrats and if FB don't like your comment they block you and not the other person. This has happened several times. Mark Zuckerburg is a big nobody in my book and follows in the crooked left democrat footsteps. He is nothing but a wealthy puppet with no self respect. Facebook use to be a good social media platform but now it is a complete joke. They want to control you just like the far left criminals in Washington. Im sure this review and the many other bad reviews mean nothing to him because he knows it won't have a impact on his business. Facebook and Mark Zuckerburk is nothing but a socialist joke. How can someone saying i hope covid patients die not get blocked but I do when I confront this person's ignorant comment.",1
13,John Doe,2020-10-13,55,piece of c**p....the world would be…,piece of c**p....the world would be better off without it,1
14,Katie Klein,2020-10-13,1,FB says they are all about removing…,"FB says they are all about removing comments that are harrasment etc but its lies. They remove comments and block users for no reason. Its redic when they don't block stuff like ""bimbo"" but do ""parrot""",1
15,wyluz svilpa,2020-10-13,1,i don't know who works on the facebook…,"i don't know who works on the facebook team. but strict facebook policy is nonsense. when you try to report open propaganda of violence against people and animals because of their race, religion or nationality facebook does not see a problem in it. But in response to such a comment you are blocked even though there is no aggression in it. The propaganda of communism that is banned in some countries is missed but you are blocked if you respond contrary to that view. I have one question do you support the crimes of communism? human and animal mutilation policy? for you, domestic politics goes beyond the norms of democracy, which is why I will delete my account. and I will urge others.",1
16,Bubu Jiri,2020-10-13,3,I just copied comment of one house…,I just copied comment of one house senator and they banned me for 30 days. What hypocrites FB become. They are same like Nazi in 1935 or communist in my old country in 1948. Censuring every independent comment.,1
17,Trudy Cory,2020-10-13,4,Facebook is a joke,"Facebook is a joke. Beyond the superficial information shared by many, they harass you often asking for ID information. I feellike they want your personal I formation for all the wrong reasons. Not reliable.",1
18,Vincent Murphy ,2020-10-13,2,I thought I couldn’t get my business…,"I thought I couldn’t get my business conversations back when my account got disabled but I did, I’m glad Edwinconsult __ on IG worked just fine..",5
0,Connie Erna Floyd,2020-10-13,2,Does not review the ads on Facebook,"Does not review the ads on Facebook, lost 125.00 because of scams on their website.Should check out these company’s  before they are sllowed to advertise.",1
0,Shaun ,2020-10-12,21,Biggest load of s.h.i.t on the internet,"Massive data farming and mining operation really, that’s all this platform is.",1
1,Matei Herrera,2020-10-12,1,Massive data farming and mining…,"Facebook blocked me for a making a comment that just because one religion treated women the same religion as this persons it did not mean that their religions position was any more valid it was just equally as stupid as the other religions position.This is not an insult to a person, it is a statement about religions unfair treatment of women and if this violates facebooks community standards then fcuk facebook as soon as I get back I am deleting my account, I want an appology for being blocked and I want a person at facebook reviewing these things in realtime. This is just WRONG!",2
2,Chasse Court,2020-10-12,2,Facebook blocked me for a making a…,"You blocked my profile without ANY REASON.And i can't even open a ticket with you because i need to login in your social network, before!!!",1
3,MLEM,2020-10-12,17,Profile Blocked,"The new UI is garbage, let us have the classic back!",1
4,MoneyBanks,2020-10-12,5,Bring back old FB!,All dms and pervious chats were still intact on my account.. Edwinconsult __ I’d vouch for!!!!,3
5,Flip,2020-10-11,1,not that bad......,"Your reviewis so poor, but its not effect you",3
6,Helen,2020-10-11,2,All dms and pervious chats were still…,Think your s*** doesn't stink but it does. They let all types of crooks be on this site manipulate listings scams bait and switches and even the news and I just try to sell my car and they tell me I've been banned again.,4
7,silvia austin,2020-10-11,4,Your reviewis so poor,"Massive data farming and mining operation really, that’s all this platform is. Once you are in, they know everything about u",1
8,2reviewsites,2020-10-10,11,Think your s*** doesn't stink but it…,"My account was disabled for some reason and I don't why. When I tried to figure it they are not responding properly. Fb asked me to change password 2 days before and I changed it and when I tried to log in with new password they told me my account was disabled. It was very bad response when I tried to contact them for fixing this issue. I also lost my Insta account as it is connected by fb.So,if you are trying to get a new start in fb, you should have a double think always.",1
9,Kenny,2020-10-10,5,It's so good!,I deleted Facebook back in 2015 and it was and still is the Best decision I’ve ever made.,5
10,Sport Emart,2020-10-10,2,Bad 2020 interface layout.,"For no reason you get disabled, by the way Edwinconsult __ recovered me back as well.. just with few talks on IG",1
11,Bruno Lomata,2020-10-09,9,Massive data farming and mining…,"Facebook is a joke. Beyond the superficial information shared by many, they harass you often asking for ID information. I feellike they want your personal I formation for all the wrong reasons. Not reliable.",1
12,shebin baby,2020-10-09,1,Don't Trust Them Too,Only few requirements were required eventually!!! Edwinconsult __ reliable,1
13,Mayi Melena,2020-10-09,5,Just no.,"I either get a blank white page on my pages or the following message ""Something Went WrongThis may be because of a technical error that we're working to get fixed. Try reloading this page"" reloading the page does nothing, I can receive messages still, I can receive Facebook on my phone and PC but not my lap top????",1
14,Jonathan,2020-10-09,2,For no reason you get disabled,I’m still marveled with how easily done Edwinconsult __ on IG recovered my account and all memories back intact... truly rocks,4
15,Eric Sedwick,2020-10-09,2,Facebook is a joke,none,1
16,Jenny ,2020-10-08,2,Only few requirements were required…,none,5
17,Susan Emmerson,2020-10-08,20,No Facebook on my lap top for 2 days,none,1
18,Veronica,2020-10-08,2,I’m still marveled with how easily done…,none,4
0,Robert Jenner,2020-10-08,1,I have troubl logging in to face book I…,"I have troubl logging in to face book I tried to log in starting in July this year and it locked me out saying I violated there terms of use and then blocked from logging in because they needed to verify it was me, there I gues there version of securty wanted to veifi it was me and now they are sending the security code to a phone number I no longer use and there is absolutely no way to contact Facebook directly they even have takin all phone numbers for the main offices off the internet and I tried reaching out to them through Tweeter but no response the are not worth the hassle, if they are not willing to put customers first they need to go out of business!!!!",1
0,Daniel,2020-10-07,2,Still surprising me how before 20mins I…,Still surprising me how before 20mins I got my account back.. Edwinconsult __ truly amazing..,4
1,Stac N. Harry,2020-10-07,6,every time scrolling this,"every time scrolling this, Just westing my time...",1
2,Collins,2020-10-07,2,Just with no complains nor worries I…,Just with no complains nor worries I had my account back.. Edwinconsult __ I’d definitely speak for... spoke trough IG,4
3,Jammie,2020-10-07,2,All details still intact after…,All details still intact after Edwinconsult__ firm recurved my account!! Talk em up,4
4,Nadia ,2020-10-07,1,get the old Facebook back !,"I had a Facebook account for about 14 years, all my memories were on that account. Then all of a sudden it dissapeared without a trace and they have no customer service to help me get it back or explain what has happened. I trusted Facebook with all my pictures and videos, don’t do the same!",1
5,Craig Williams,2020-10-07,2,I had a Facebook account for about 14…,"The reason I am giving this place one star its because their support system is trash. I reported several obvious scams in comments or fake profiles with scammers and everytime almost they say that ""they don't go against their community guidelines"". They are either stupid, in cahoots with the scammers or they just have a useless monkey bot that does absolutely nothing.Not only that but it's filled with ads lately. Especially on really short videos, are you serious?",1
6,Tommy Mutiu,2020-10-07,6,The reason I am giving this place one…,Regarding how long have been left hanging!!  I’m glad I got back my business account back.. Facebook disables you for no given reason!!  Stay woke Edwinconsult __ sorted out my account and I’m really thankful..,1
7,Murgan ,2020-10-07,1,Regarding how long have been left…,"Ad overtook the budget that I set, so disappointed",4
8,Zayn,2020-10-06,3,Ad overtook the budget that I set,Some people are saying its a scam! Its a scam!,3
9,Jarvis Witt,2020-10-06,1,Some people are saying its a scam,"They advertised for a $300 ad-credit and so I got this ad credit, but once I ran an ad it charged my credit card because apparently I didn't ""claim"" the credit (which I had no idea about until back and forth emails that were so frustrating, since they would not help me refund and only wanted to close the ticket). I talked to someone over the phone for a shop consultation and they sounded like they would help me reverse what happened and charge my ad credit instead of my credit card. They even told me to CC them in emails, but nope, I just got email after email from different people saying the case is closed and that I did the wrong thing by not ""claiming"" the credit, which it did not say anywhere when I was building the ad. The whole thing was like a scam and the worst customer service I've ever received. It's like they tell you to your face that you can get your refund on the credit card when they talk to you in person, and talk about following up and everything but actually, they didn't do anything and didn't do a refund. When I CC'd the person who did the consultation, she also did not reply. I could refund a portion through my credit card company which is a hassle -- sending paperwork etc. Just FYI. Horrendous experience and hope you don't have to go through that.",1
10,Miss G,2020-10-06,3,They advertised for a $300 ad-credit…,"Very good, thanks.",1
11,HDxCarlitox,2020-10-06,1,Very good,"Facebook is literally the new nazi party, I made a post saying my girlfriend is crazy and they removed my account. That is literally the definition of facism.",5
12,Facebooksucks,2020-10-06,1,Facebook is literally the new nazi…,"Facebook protects fake accounts.  Their answer, it doesn't go against Community Standards.  I'm fed up of scammers. There is no option to explain the problem.",1
